RPM,400,380,360,340,320,300,280,260,240,220,200,180,160,140,120,100,80,60,40,20,0,-20,-40,-60,-80,-100,-120,-140,-160,-180,-200,-220,-240,-260,-280,-300,-320,-340,-360,-380,-400
20,434.0,464.0,510.0,533.0,567.0,651.0,684.0,767.0,870.0,914.0,1176.0,1314.0,1565.0,1904.0,2353.0,3496.0,5197.0,0.0,0.0,0.0,0.0,0.0,0.0,12435.0,4530.0,3091.0,2191.0,1946.0,1453.0,1266.0,1023.0,1007.0,852.0,778.0,711.0,638.0,594.0,546.0,532.0,478.0,503.0
21,437.0,509.0,507.0,568.0,569.0,613.0,690.0,826.0,861.0,928.0,1062.0,1282.0,1526.0,1815.0,2548.0,3341.0,5191.0,0.0,0.0,0.0,0.0,0.0,0.0,15192.0,4863.0,2777.0,2276.0,2002.0,1446.0,1249.0,1035.0,1034.0,850.0,772.0,737.0,616.0,569.0,562.0,512.0,487.0,543.0
22,433.0,463.0,542.0,522.0,575.0,639.0,679.0,740.0,840.0,947.0,1089.0,1288.0,1552.0,1791.0,2487.0,3572.0,5277.0,0.0,0.0,0.0,0.0,0.0,0.0,12714.0,4372.0,2821.0,2067.0,2111.0,1455.0,1234.0,1063.0,993.0,837.0,755.0,712.0,640.0,599.0,557.0,505.0,489.0,495.0
23,435.0,483.0,498.0,517.0,563.0,683.0,687.0,771.0,845.0,940.0,1078.0,1302.0,1565.0,1829.0,2491.0,3474.0,5566.0,0.0,0.0,0.0,0.0,0.0,0.0,17526.0,4405.0,2779.0,2129.0,1928.0,1500.0,1269.0,1041.0,1021.0,820.0,824.0,732.0,616.0,578.0,564.0,524.0,507.0,485.0
24,432.0,467.0,513.0,508.0,587.0,626.0,664.0,752.0,857.0,917.0,1214.0,1291.0,1491.0,1849.0,2601.0,3396.0,5302.0,0.0,0.0,0.0,0.0,0.0,0.0,13479.0,4696.0,2750.0,2106.0,1958.0,1490.0,1262.0,1021.0,997.0,801.0,734.0,700.0,618.0,599.0,537.0,504.0,489.0,501.0
25,435.0,463.0,494.0,528.0,625.0,638.0,671.0,772.0,811.0,925.0,1083.0,1264.0,1687.0,1740.0,2603.0,3524.0,5341.0,0.0,0.0,0.0,0.0,0.0,0.0,15254.0,4925.0,2905.0,2097.0,1908.0,1458.0,1245.0,1033.0,973.0,812.0,755.0,740.0,644.0,578.0,550.0,512.0,536.0,482.0
26,451.0,464.0,481.0,515.0,578.0,682.0,689.0,761.0,826.0,938.0,1089.0,1272.0,1614.0,1830.0,2446.0,3494.0,4976.0,0.0,0.0,0.0,0.0,0.0,0.0,13325.0,4844.0,3047.0,2174.0,1929.0,1614.0,1232.0,1061.0,986.0,839.0,779.0,732.0,609.0,584.0,600.0,517.0,503.0,480.0
27,454.0,464.0,506.0,517.0,563.0,622.0,671.0,743.0,811.0,927.0,1057.0,1290.0,1586.0,1737.0,2542.0,3383.0,5036.0,0.0,0.0,0.0,0.0,0.0,0.0,14747.0,4799.0,2779.0,2300.0,2029.0,1468.0,1268.0,1040.0,1012.0,826.0,751.0,717.0,626.0,572.0,562.0,561.0,509.0,490.0
28,453.0,454.0,502.0,540.0,591.0,635.0,751.0,832.0,911.0,910.0,1176.0,1287.0,1597.0,1716.0,2390.0,3634.0,5358.0,0.0,0.0,0.0,0.0,0.0,0.0,12036.0,4728.0,2838.0,2104.0,2170.0,1519.0,1265.0,1022.0,987.0,815.0,773.0,785.0,612.0,596.0,568.0,525.0,503.0,507.0
29,457.0,451.0,486.0,519.0,571.0,617.0,681.0,758.0,818.0,930.0,1057.0,1256.0,1624.0,1770.0,2339.0,3479.0,5302.0,0.0,0.0,0.0,0.0,0.0,0.0,14691.0,4664.0,2783.0,2185.0,1966.0,1488.0,1249.0,1033.0,971.0,809.0,739.0,702.0,609.0,584.0,540.0,533.0,482.0,491.0
30,452.0,475.0,490.0,506.0,594.0,630.0,689.0,773.0,831.0,952.0,1083.0,1262.0,1584.0,1827.0,2439.0,3369.0,5315.0,0.0,0.0,0.0,0.0,0.0,0.0,14473.0,4898.0,2753.0,2132.0,1999.0,1519.0,1238.0,1064.0,983.0,826.0,821.0,719.0,627.0,603.0,555.0,504.0,494.0,532.0
31,455.0,472.0,511.0,533.0,561.0,610.0,738.0,779.0,836.0,945.0,1069.0,1282.0,1705.0,1757.0,2506.0,3445.0,5080.0,0.0,0.0,0.0,0.0,0.0,0.0,15521.0,4633.0,2843.0,2113.0,1941.0,1593.0,1272.0,1040.0,1011.0,813.0,765.0,703.0,681.0,599.0,604.0,517.0,499.0,499.0
32,452.0,475.0,496.0,532.0,586.0,615.0,679.0,772.0,825.0,922.0,1191.0,1277.0,1587.0,1881.0,2392.0,3438.0,5050.0,0.0,0.0,0.0,0.0,0.0,0.0,12723.0,4987.0,2994.0,2176.0,1921.0,1432.0,1265.0,1023.0,990.0,898.0,754.0,716.0,635.0,603.0,564.0,534.0,514.0,505.0
33,437.0,473.0,493.0,567.0,628.0,624.0,695.0,749.0,834.0,925.0,1057.0,1250.0,1522.0,1805.0,2532.0,3216.0,5262.0,0.0,0.0,0.0,0.0,0.0,0.0,14624.0,4776.0,2717.0,2284.0,1996.0,1515.0,1254.0,1035.0,968.0,801.0,739.0,717.0,622.0,581.0,570.0,515.0,495.0,498.0
34,452.0,454.0,483.0,522.0,578.0,606.0,709.0,736.0,856.0,934.0,1062.0,1268.0,1514.0,1781.0,2469.0,3402.0,5413.0,0.0,0.0,0.0,0.0,0.0,0.0,12307.0,4690.0,2795.0,2087.0,2085.0,1487.0,1247.0,1064.0,978.0,831.0,750.0,707.0,678.0,585.0,549.0,511.0,489.0,479.0
35,436.0,471.0,479.0,519.0,560.0,637.0,668.0,743.0,839.0,926.0,1037.0,1288.0,1490.0,1819.0,2482.0,3344.0,5589.0,0.0,0.0,0.0,0.0,0.0,0.0,17474.0,4695.0,2762.0,2146.0,1881.0,1542.0,1284.0,1042.0,1005.0,861.0,753.0,747.0,635.0,572.0,553.0,532.0,508.0,489.0
